Country,Lat,Long,2000,2005,2010,2018
Afghanistan,33,65,1600,2900,4200,7200
Albania,41.1533,20.1683,0,0,0,0
Algeria,28.0339,1.6596,1900,3700,7100,16000
Angola,-11.2027,17.8739,87000,150000,220000,330000
Argentina,-38.4161,-63.6167,64000,85000,110000,140000
Armenia,40.0691,45.0382,950,2700,3300,3500
Australia,-35.4735,149.0124,13000,16000,21000,28000
Austria,47.5162,14.5501,0,0,0,0
Azerbaijan,40.1431,47.5769,0,0,0,0
Bahamas,25.0343,-77.3963,5100,5100,5800,6000
Bahrain,26.0275,50.55,0,0,0,0
Bangladesh,23.685,90.3563,940,4000,7700,14000
Barbados,13.1939,-59.5432,1100,1700,2300,3000
Belarus,53.7098,27.9534,1400,5400,12000,27000
Belgium,50.8333,4,0,0,0,0
Belize,13.1939,-59.5432,1700,2800,3700,4900
Benin,9.3077,2.3158,47000,56000,61000,73000
Bhutan,27.5142,90.4336,530,1100,1300,1300
Bolivia (Plurinational State of),-16.2902,-63.5887,21000,26000,23000,22000
Bosnia and Herzegovina,43.9159,17.6791,100,200,200,500
Botswana,-22.3285,24.6849,280000,310000,340000,370000
Brazil,-14.235,-51.9253,410000,550000,670000,900000
Brunei Darussalam,4.5353,114.7277,0,0,0,0
Bulgaria,42.7339,25.4858,500,980,1700,3500
Burkina Faso,12.2383,-1.5616,140000,120000,110000,96000
Burundi,-3.3731,29.9189,130000,110000,93000,82000
Cabo Verde,16.5388,-23.0418,1600,1800,2100,2400
Cambodia,11.55,104.9167,81000,82000,79000,73000
Cameroon,3.848,11.5021,370000,470000,520000,540000
Canada,51.2538,-85.3232,0,0,0,0
Central African Republic,6.6111,20.9394,160000,150000,140000,110000
Chad,15.4542,18.7322,80000,88000,99000,120000
Chile,-35.6751,-71.543,14000,25000,39000,71000
China,40.1824,116.4142,0,0,0,0
Colombia,4.5709,-74.2973,110000,120000,130000,160000
Comoros,-11.6455,43.3333,100,100,200,200
Congo,-4.0383,21.7587,80000,77000,82000,89000
Costa Rica,9.7489,-83.7534,4300,6500,9300,15000
Cote d'Ivoire,7.54,-5.5471,590000,510000,480000,460000
Croatia,45.1,15.2,500,710,1000,1600
Cuba,22,-80,4100,9000,17000,31000
Cyprus,35.1264,33.4299,0,0,0,0
Czechia,49.8175,15.473,510,970,1800,4400
Democratic People's Republic of Korea,40,127,0,0,0,0
Democratic Republic of the Congo,-4.322,15.307,540000,510000,480000,450000
Denmark,61.8926,-6.9118,4000,4900,5500,6200
Djibouti,11.8251,42.5903,9400,11000,9400,8800
Dominican Republic,18.7357,-70.1627,85000,79000,72000,70000
Ecuador,-1.8312,-78.1834,26000,29000,34000,44000
Egypt,26,30,1500,3200,6800,22000
El Salvador,13.7942,-88.8965,18000,23000,26000,25000
Equatorial Guinea,1.5,10,13000,22000,35000,62000
Eritrea,15.1794,39.7823,16000,17000,17000,18000
Estonia,58.5953,25.0136,3400,5400,6000,7400
Eswatini,-26.5225,31.4659,110000,130000,160000,210000
Ethiopia,9.145,40.4897,750000,640000,630000,690000
Fiji,-17.7134,178.065,0,0,0,0
Finland,64,26,1100,1900,2700,4000
France,48.8647,2.349014,82000,110000,140000,180000
Gabon,-0.8037,11.6094,28000,35000,43000,53000
Gambia,13.4432,-15.3101,9900,15000,18000,26000
Georgia,42.3154,43.3569,980,2800,5600,9400
Germany,51,9,45000,56000,69000,87000
Ghana,7.9465,-1.0232,270000,280000,300000,330000
Greece,39.0742,21.8243,0,0,0,0
Guatemala,15.7835,-90.2308,44000,48000,49000,47000
Guinea,9.9456,-9.6966,83000,93000,100000,120000
Guinea-Bissau,11.8037,-15.1804,22000,31000,38000,44000
Guyana,4.8604,58.9302,2300,5000,6700,8200
Haiti,18.9712,-72.2852,150000,140000,140000,160000
Honduras,15.2,-86.2419,40000,31000,26000,23000
Hungary,47.1625,19.5033,830,1200,2000,3700
Iceland,64.9631,-19.0208,100,200,500,500
India,21,78,0,0,0,0
Indonesia,-0.7893,113.9213,80000,290000,510000,640000
Iran (Islamic Republic of),32,53,16000,37000,50000,61000
Ireland,53.1424,-7.6921,1900,3200,4800,7200
Israel,31,35,2700,4100,6000,9000
Italy,43,12,68000,89000,110000,130000
Jamaica,18.1096,-77.2975,41000,38000,37000,40000
Japan,36,138,6200,12000,19000,30000
Jordan,31.24,36.51,100,200,200,500
Kazakhstan,48.0196,66.9237,1100,4000,11000,26000
Kenya,-0.0236,37.9062,1700000,1500000,1500000,1600000
Kuwait,29.5,47.75,200,500,500,640
Kyrgyzstan,41.2044,74.7661,710,1500,4100,8500
Lao People's Democratic Republic,18,105,2200,6700,9900,12000
Latvia,56.8796,24.6032,2300,3200,4000,5300
Lebanon,33.8547,35.8623,910,1300,1600,2500
Lesotho,-29.609988,28.233608,260000,280000,300000,340000
Liberia,6.4281,-9.4295,43000,41000,41000,39000
Libya,26.3351,17.228331,950,2900,6100,9200
Lithuania,55.1694,23.8813,0,0,0,0
Luxembourg,49.8153,6.1296,500,500,700,1200
Madagascar,-18.7669,46.8691,13000,19000,21000,39000
Malawi,-13.254308,34.301525,810000,820000,870000,1000000
Malaysia,3.140853,101.693207,55000,66000,74000,87000
Maldives,3.2028,73.2207,0,0,0,0
Mali,12.44,17.53,110000,110000,120000,150000
Malta,35.9375,14.3754,0,0,0,0
Mauritania,21.0079,10.9408,5500,7500,7100,5600
Mauritius,-20.2,57.5,3200,8000,11000,13000
Mexico,23.6345,-102.5528,130000,150000,180000,230000
Mongolia,46.8625,103.8467,100,500,500,600
Montenegro,42.5,19.3,100,100,200,500
Morocco,31.7917,-7.0926,9700,13000,17000,21000
Mozambique,-25.953724,32.588711,840000,1200000,1600000,2200000
Myanmar,22,98,150000,210000,220000,240000
Namibia,-22.9576,18.4904,140000,160000,170000,200000
Nepal,28.1667,84.25,16000,29000,31000,30000
Netherlands,12.5186,-70.0358,11000,16000,20000,0
New Zealand,-40.9006,174.886,1300,1800,2500,3600
Nicaragua,12.8654,-85.2072,3600,6100,7900,9400
Niger,17.6078,8.0817,37000,40000,37000,36000
Nigeria,9.082,8.6753,1300000,1400000,1500000,1900000
Norway,60.472,8.4689,1900,3000,4200,5800
Oman,21,57,1300,1700,2200,3200
Pakistan,30.3753,69.3451,500,12000,67000,160000
Panama,8.538,-80.7821,11000,16000,20000,26000
Papua New Guinea,-6.315,143.9555,20000,38000,38000,45000
Paraguay,-23.4425,-58.4438,14000,19000,20000,21000
Peru,-9.19,-75.0152,71000,65000,65000,79000
Philippines,13,122,1000,3700,15000,77000
Poland,51.9194,19.1451,0,0,0,0
Portugal,39.3999,-8.2245,32000,37000,40000,41000
Qatar,25.3548,51.1839,0,0,0,0
Republic of Korea,36,128,0,0,0,0
Republic of Moldova,47,29,10000,12000,16000,17000
Republic of North Macedonia,41.6086,21.7453,100,100,200,500
Romania,45.9432,24.9668,7500,11000,14000,18000
Russian Federation,60,90,0,0,0,0
Rwanda,-1.9403,29.8739,240000,220000,220000,220000
Saudi Arabia,24,45,0,0,0,0
Senegal,14.4974,-14.4524,33000,42000,44000,42000
Serbia,44.0165,21.0059,1000,1100,1800,3000
Sierra Leone,8.460555,-11.779889,40000,51000,58000,70000
Singapore,1.287953,103.51,2900,4100,6500,7900
Slovakia,48.669,19.699,200,500,500,1200
Slovenia,46.1512,14.9955,0,0,0,0
Somalia,5.1521,46.1996,16000,20000,17000,11000
South Africa,-30.5595,22.9375,3300000,5000000,6100000,7700000
South Sudan,4.859363,31.571251,90000,120000,140000,190000
Spain,40,-4,92000,120000,140000,150000
Sri Lanka,6.927079,79.861244,2200,3600,4000,3500
Sudan,12.8628,30.2176,15000,29000,43000,59000
Suriname,3.9193,-56.0278,3100,4000,4600,5600
Sweden,63,16,0,0,0,0
Switzerland,46.8182,8.2275,0,0,0,0
Syrian Arab Republic,33.510414,36.278336,500,500,570,660
Tajikistan,38.861034,71.276093,1400,5200,9200,13000
Thailand,15,100,740000,630000,580000,480000
Timor-Leste,-8.874217,125.727539,0,0,0,0
Togo,6.136629,1.222186,94000,100000,100000,110000
Trinidad and Tobago,10.6918,-61.2225,0,0,0,0
Tunisia,34,9,500,640,1400,2800
Turkey,38.9637,35.2433,0,0,0,0
Turkmenistan,37.862499,58.238056,0,0,0,0
Uganda,1,32,1000000,1100000,1200000,1400000
Ukraine,48.3794,31.1656,170000,230000,230000,240000
United Arab Emirates,24,54,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,32.3078,-64.7505,0,0,0,0
United Republic of Tanzania,-6.369,34.8888,1100000,1200000,1300000,1600000
United States of America,38,97,0,0,990000,0
Uruguay,-32.5228,-55.7658,6000,7600,9600,14000
Uzbekistan,41.3775,64.5853,14000,21000,30000,52000
Venezuela (Bolivarian Republic of),6.4238,-66.5897,0,0,0,120000
Viet Nam,16,108,120000,180000,220 000,230000
Yemen,15.552727,48.516388,1100,2400,5100,11000
Zambia,-15.4167,28.2833,890000,920000,1000000,1200000
Zimbabwe,-20,30,1600000,1400000,1200000,1300000
